DOI Created|DOI Last Updated|Series|DOI of Final|Year Published|Month Published|Title|Authors|DOI|DURL
   2019-09-23T14:14:46Z|2019-09-23T14:14:46Z|SP800||2019|09|Zero Trust Architecture|Rose, Scott; Borchert, Oliver; Mitchell, Stu; Connelly, Sean|10.6028/NIST.SP.800-207-draft|https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-207-draft.pdf
   2019-10-01T14:09:47Z|2019-10-01T14:09:47Z|IR||2019|10|Security Review of Consumer Home 16 Internet of Things (IoT) Products|Fagan, Michael; Yang, Mary; Tan, Allen; Randolph, Lora; Scarfone, Karen|10.6028/NIST.IR.8267-draft|https://nvlpubs.nist.gov/nistpubs/ir/2019/NIST.IR.8267-draft.pdf
   2019-10-08T20:37:33Z|2019-10-08T20:37:34Z|SP800||2019|10|Recommendation for Key ManagementPart 1 - General|Barker, Elaine|10.6028/NIST.SP.800-57pt1r5-draft|https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-57pt1r5-draft.pdf
   2019-10-30T14:32:40Z|2019-12-31T19:19:26Z|IR||2019|10|A taxonomy and terminology of adversarial machine learning|Tabassi, Elham; Burns, Kevin J.; Hadjimichael, Michael; Molina-Markham, Andres D.; Sexton, Julian T.|10.6028/NIST.IR.8269-draft|https://nvlpubs.nist.gov/nistpubs/ir/2019/NIST.IR.8269-draft.pdf
   2019-10-30T17:12:39Z|2019-10-30T17:12:40Z|SP800||2019|10|Recommendations for Discrete-Logarithm Based Cryptography:Elliptic Curve Domain Parameters|Regenscheid, Andrew|10.6028/NIST.SP.800-186-draft|https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-186-draft.pdf
   2018-12-12T20:35:14Z|2018-12-14T20:10:59Z|SP800||2018|12|Secure Interdomain Traffic Exchange|Sriram, Kotikalapudi|10.6028/NIST.SP.800-189-draft|https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-189-draft.pdf
   2019-11-08T20:15:13Z|2019-11-08T20:15:13Z|IR||2019|11|Towards NIST Standards for Threshold Schemes for Cryptographic PrimitivesA Preliminary Roadma|Brandão, Luís T. A. N.; Davidson, Michael; Vassilev, Apostol|10.6028/NIST.IR.8214A-draft|https://nvlpubs.nist.gov/nistpubs/ir/2019/NIST.IR.8214A-draft.pdf
   2019-11-20T14:07:59Z|2019-12-31T19:19:28Z|IR||2019|11|Automation Support for Security Control Assessments: Software Vulnerability Management|Dempsey, Kelley; Eavy, Paul; Moore, George; Takamura, Eduardo|10.6028/NIST.IR.8011-4-draft|https://nvlpubs.nist.gov/nistpubs/ir/2019/NIST.IR.8011-4-draft.pdf
   2019-12-11T20:00:36Z|2019-12-11T20:00:36Z|SP800||2019|11|Recommendation for Stateful Hash-Based Signature Schemes|Cooper, David A.|10.6028/NIST.SP.800-208-draft|https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-208-draft.pdf
   2019-05-28T10:46:36Z|2019-05-28T10:46:36Z|IR||2019|05|Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations GuideVolume 1 - General Implementation Guidance|Cichonski, Jeff|10.6028/NIST.IR.8183A-1-draft|https://nvlpubs.nist.gov/nistpubs/ir/2019/NIST.IR.8183A-1-draft.pdf
   2019-05-28T10:46:36Z|2019-05-28T10:46:39Z|IR||2019|05|Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations GuideVolume 2 - Process-based Manufacturing System Use Case|Cichonski, Jeff|10.6028/NIST.IR.8183A-2-draft|https://nvlpubs.nist.gov/nistpubs/ir/2019/NIST.IR.8183A-2-draft.pdf
   2019-05-28T10:46:36Z|2019-05-28T10:46:40Z|IR||2019|05|Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations GuideVolume 3 - Discrete-based Manufacturing System Use Case|Cichonski, Jeff|10.6028/NIST.IR.8183A-3-draft|https://nvlpubs.nist.gov/nistpubs/ir/2019/NIST.IR.8183A-3-draft.pdf
   2019-10-17T19:49:05Z|2019-10-17T19:49:05Z|SP800||2019|10|Resilient Interdomain Traffic Exchange3 BGP Security and DDoS Mitigation|Sriram, Kotikalapudi; Montgomery, Douglas|10.6028/NIST.SP.800-189-draft2|https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-189-draft2.pdf
   2020-01-06T20:27:04Z|2020-01-07T14:07:05Z|IR||2020|01|Recommendations for IoT Device 2 Manufacturers:Foundational Activities and Core Device Cybersecurity 4 Capability Baseline|Fagan, Michael; Megas, Katerina N.; Scarfone, Karen; Smith, Matthew|10.6028/NIST.IR.8259-draft2|https://nvlpubs.nist.gov/nistpubs/ir/2020/NIST.IR.8259-draft2.pdf
   2020-01-21T19:30:36Z|2020-01-22T12:36:57Z|SP800||2020|01|Security and Privacy Controls for Information Systems and Organizations||10.6028/NIST.SP.800-53r5-draft|https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-53r5-draft.pdf
   2020-01-24T20:49:59Z|2020-01-31T15:35:16Z|IR||2020|01|National Cybersecurity Online Informative References (OLIR) Program:Guidance for OLIR Users and Developers|Keller, Nicole; Quinn, Stephen; Scarfone, Karen; Smith, Matthew; Johnson, Vincent|10.6028/NIST.IR.8278-draft|https://nvlpubs.nist.gov/nistpubs/ir/2020/NIST.IR.8278-draft.pdf
   2020-01-17T18:47:16Z|2020-01-17T18:47:18Z|SP800||2020|01|Building Secure Microservices-based Applications Using Service-Mesh Architecture|Chandramouli, Ramaswamy; Butcher, Zack|10.6028/NIST.SP.800-204A-draft|https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-204A-draft.pdf
   2020-01-13T14:34:35Z|2020-01-13T14:34:35Z|SP800||2020|01|Assessing Information Security Continuous Monitoring (ISCM) Programs:Developing an ISCM Program Assessment|Dempsey, Kelley; Pillitteri, Victoria Yan; Baer, Chad; Niemeyer, Robert; Rudman, Ron; Urban, Susan|10.6028/NIST.SP.800-137A-draft|https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-137A-draft.pdf
   2020-02-03T15:28:49Z|2020-02-03T15:28:49Z|IR||2020|02|Key Practices in Cyber Supply Chain Risk Management: Observations from Industry|Boyens, Jon M.|10.6028/NIST.IR.8276-draft|https://nvlpubs.nist.gov/nistpubs/ir/2020/NIST.IR.8276-draft.pdf
   2020-02-10T14:20:00Z|2020-02-10T14:20:00Z|IR||2020|02|National Vulnerability Database (NVD) Metadata Submission Guidelines for Common Vulnerabilities and Exposures (CVE) Numbering Authorities (CNAs) and Authorized Data Publishers|Byers, Robert; Waltermire, David; Turner, Christopher|10.6028/NIST.IR.8246-draft|https://nvlpubs.nist.gov/nistpubs/ir/2020/NIST.IR.8246-draft.pdf
   2020-02-13T13:53:43Z|2020-02-13T13:53:56Z|SP800||2020|02|Zero Trust Architecture|Rose, Scott; Borchert, Oliver; Mitchell, Stu; Connelly, Sean|10.6028/NIST.SP.800-207-draft2|https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-207-draft2.pdf
   2020-03-04T14:31:40Z|2020-03-04T14:31:41Z|IR||2020|03|Cybersecurity Framework Version 1.1 Manufacturing Profile|Stouffer, Keith; Zimmerman, Timothy; Tang, CheeYee; Lubell, Joshua; Cichonski, Jeffrey; Pease, Michael; McCarthy, John|10.6028/NIST.IR.8183r1-draft|https://nvlpubs.nist.gov/nistpubs/ir/2020/NIST.IR.8183r1-draft.pdf
   2020-03-05T14:08:23Z|2020-03-05T14:08:23Z|SP800||2020|03|Recommendation for Cryptographic Key Generation|Barker, Elaine; Roginsky, Allen; Davis, Richard|10.6028/NIST.SP.800-133r2-draft|https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-133r2-draft.pdf
